tag	current_zh	ja	en	post_count
dr.latency's_freak_report	燕石博物志	燕石博物誌	Dr.latency's Freak Report	133
drag-on_dragoon	龙背上的骑兵	ドラッグオンドラグーン	Drakengard	1341
dragalia_lost	失落的龙约	ドラガリアロスト	Dragalia Lost	1826
dragon's_crown	龙之皇冠	ドラゴンズクラウン	Dragon's Crown	2219
dragon_ball	七龙珠	ドラゴンボール	Dragon Ball	30245
dragon_ball_(classic)	龙珠	ドラゴンボール	Dragon Ball	2927
dragon_ball_af	七龙珠AF	ドラゴンボールAF	Dragon Ball AF	12
dragon_ball_fighterz	龙珠格斗Z	ドラゴンボールファイターズ	DRAGON BALL FighterZ	1998
dragon_ball_gt	龙珠GT	ドラゴンボールGT	Dragon Ball GT	2383
dragon_ball_super	龙珠超	ドラゴンボール超	Dragon Ball Super	6780
dragon_ball_super_broly	龙珠超：布罗利	ドラゴンボール超ブロリー	Dragon Ball Super Broly	1348
dragon_ball_z	龙珠Z	ドラゴンボールZ	Dragon Ball Z	13750
dragon_ball_z:_super_butouden	超武斗传	超武闘伝	Dragon Ball Z: Super Butouden	2
dragon_city	龙城	ドラゴンシティ	Dragon City	4
dragon_nest	龙之谷	ドラゴンネスト	Dragon Nest	229
dragon_nest_warriors'_dawn	龙之谷·破晓奇兵	竜之谷·破暁奇兵	Dragon Nest Warriors' Dawn	2
dragon_quest	勇者斗恶龙	ドラゴンクエスト	Dragon Quest	20400
dragon_quest_builders_2	勇者斗恶龙 创造者2	ドラゴンクエストビルダーズ2	Dragon Quest Builders 2	1136
dragon_quest_ii	勇者斗恶龙II	ドラゴンクエスト2	Dragon Quest II	1427
dragon_quest_iii	勇者斗恶龙III	ドラゴンクエスト3	Dragon Quest III	4017
dragon_quest_iv	勇者斗恶龙IV	ドラゴンクエスト4	Dragon Quest IV	2765
dragon_quest_v	勇者斗恶龙5	ドラゴンクエスト5	Dragon Quest V	2405
dragon_quest_viii	勇者斗恶龙8	ドラゴンクエスト8	Dragon Quest VIII	1343
dragon_quest_x	勇者斗恶龙X	ドラゴンクエストX	Dragon Quest X	1669
dragon_quest_xi	勇者斗恶龙XI	ドラクエ11	Dragon Quest XI	2682
dragon_raja_(jiang_nan)	龙族	竜族	Dragon Raja	76
dragon_raja_(lee_yeongdo)	龙族	ドラゴンラジャー	Dragon Raja	2
dragons:_defenders_of_berk	驯龙记：博克岛的守护者	ヒックとドラゴン~バーク島を守れ!~	Dragons: Defenders Of Berk	1
dragons:_race_to_the_edge	驯龙记：飞越边界	ヒックとドラゴン:新たな世界へ!	Dragons: Race To The Edge	1
dream_logical_world	东方实在相	東方実在相	Dream Logical World	2
dream_mansion	筑梦公馆	築夢公館	Dream Mansion	19
dreameater_project	食梦计画	食夢計画	Dreameater Project	7
dreaming_freedom	从梦到自由	従夢到自由	Dreaming Freedom	14
drill_senki	弩龙战机	弩龍戦機	Drill Senki	22
drunken_master	醉拳	酔拳	Drunken Master	49
drunken_master_ii	醉拳II	酔拳2	Drunken Master Ii	2
du_zhu_you_bing	督主有病	督主有病	Du Zhu You Bing	2
duel_masters	决斗大师	デュエル・マスターズ	Duel Masters	2362
duelo_a_garrotazos	骨肉阋墙	骨肉鬩牆	Duelo A Garrotazos	1
dungeon_and_fighter	地下城与勇士	アラド戦記	Dungeon And Fighter	4948
dungeon_meshi	迷宫饭	ダンジョン飯	Delicious in Dungeon	14509
dungeon_munchies	餐瘾地城	餐癮地城	Dungeon Munchies	2
dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka	在地下城寻求邂逅是否搞错了什么	ダンジョンに出会いを求めるのは間違っているだろうか	DanMachi	6912
dungeons_&_daimeiwaku_-great_edges_in_the_abyss-	大迷宫&大迷惑	大迷宮&大迷惑	Dungeons & Daimeiwaku -great Edges In The Abyss-	1
dungeons_&_dragons	龙与地下城	ダンジョンズ&ドラゴンズ	Dungeons & Dragons	5588
durarara!!	无头骑士异闻录	デュラララ!!	DRRR!!	2593
dusk_diver	酉闪町	酉閃町	Dusk Diver	18
e.d.e.n	伊甸启示录	伊甸啓示録	E.d.e.n	1
earth_defense_force	地球防卫军	地球防衛軍	Earth Defense Force	104
earth_defense_force_5	地球防卫军5	地球防衛軍5	Earth Defense Force 5	39
earthen_miraculous_sword	链缘蛇丛釼	連縁蛇叢釼	Earthen Miraculous Sword	83
east_of_the_sun_and_west_of_the_moon	日之东·月之西	太陽の東 月の西	Østenfor Sol Og Vestenfor Måne	3
eastern_and_little_nature_deity	东方三月精	東方三月精	Eastern And Little Nature Deity	33
echo_of_zamia	萨弥亚的回响	エコー・オブ・ザミア	Echo of Zamia	1
echocalypse	绯色回响	Echocalypse	Echocalypse	458
echoes_of_mana	圣剑传说EoM	聖剣伝説EoM	Echoes Of Mana	25
echoes_of_vision	异象回声	異象回声	Echoes Of Vision	117
echonox_24/36	时序残响	時序残響	Echonox 24/36	2
eclipse_isle	风云岛行动	風雲島行動	Eclipse Isle	9
edogawa_rampo_zenshuu:_kyoufu_kikei_ningen	江户川乱步全集恐怖奇形人间	江戸川乱歩全集恐怖奇形人間	Edogawa Rampo Zenshuu: Kyoufu Kikei Ningen	1
ef_(visual_novel)	悠久之翼	ef	ef	648
eggy_party	蛋仔派对	蛋仔派対	Eggy Party	2
